Designator,Footprint,Quantity,Value,LCSC Part #
ST83,MX-6.25U-Stabilizer,1,6.25U,
SW17,Kailh-PCB-Socket-1U-Cutout,1,KEYSW,
SW41,Kailh-PCB-Socket-1U-Cutout,1,KEYSW,
ST84,MX-7U-Stabilizer,1,7U,
C3,CP_Radial_D4.0mm_P1.50mm,1,4.7u,
LED1,LED_D3.0mm,1,POWER,
D28,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D36,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D11,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D14,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D90,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D92,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
U1,DIP-40_W15.24mm,1,ATmega32A-PU,
BOOT1,SW_PUSH_6mm,1,BOOT,
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,22p,
C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,22p,
C4,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,0.1u,
C5,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,0.1u,
D0,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D1,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D2,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D3,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D4,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D5,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D6,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D7,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D8,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D9,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D10,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D12,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D13,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D15,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D16,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D17,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D18,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D19,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D20,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D21,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D22,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D23,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D24,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D25,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D26,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D27,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D29,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D30,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D31,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D32,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D33,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D34,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D35,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D37,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D38,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D39,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D40,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D41,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D42,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D43,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D44,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D45,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D46,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D47,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D48,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D49,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D50,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D52,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D53,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D54,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D55,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D56,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D57,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D58,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D59,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D60,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D61,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D62,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D63,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D64,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D65,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D66,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D67,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D68,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D69,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D70,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D71,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D72,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D73,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D74,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D75,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D76,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D77,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D79,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D81,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D83,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D85,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D86,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D88,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D93,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D94,D_DO-35_SOD27_P5.08mm_Horizontal,1,D_Small,
D95,D_DO-35_SOD27_P5.08mm_Horizontal,1,3.6V,
D96,D_DO-35_SOD27_P5.08mm_Horizontal,1,3.6V,
F1,polyfuse_5.1mm,1,500mA,
J1,AVR_ICSP_3x2,1,AVR-ISP-6,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,5.1k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,5.1k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,75R,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,75R,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.5k,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.5K,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
RESET1,SW_PUSH_6mm,1,RESET,
SW0,Kailh-PCB-Socket-1U-Cutout,1,KEYSW,
