Designator,Mid X,Mid Y,Rotation,Layer
ST83,168.1099,-192.4177,0.0,top
SW17,65.7352,-116.1923,0.0,top
SW41,208.5975,-135.255,0.0,top
ST84,180.0225,-192.405,0.0,top
C3,217.945459,-67.911544,90.0,top
LED1,217.595499,-59.5249,0.0,top
D28,321.967188,-68.784948,-90.0,top
D36,108.530629,-66.304655,-90.0,top
D11,297.229706,-68.784948,-90.0,top
D14,371.442152,-68.784948,-90.0,top
D90,336.102892,-68.784948,-90.0,top
D92,339.636818,-58.410499,-90.0,top
U1,233.6165,-74.4855,90.0,top
BOOT1,171.023197,-57.3151,0.0,top
C1,273.9517,-80.2005,90.0,top
C2,259.6261,-80.2005,90.0,top
C4,258.9403,-56.7563,180.0,top
C5,252.0823,-76.9239,0.0,top
D0,46.981402,-63.824362,-90.0,top
D1,89.094031,-66.304655,-90.0,top
D2,105.291196,-63.824362,-90.0,top
D3,121.488361,-68.784948,-90.0,top
D4,137.685526,-66.304655,-90.0,top
D5,170.079856,-68.784948,-90.0,top
D6,202.474222,-63.824362,-90.0,top
D7,304.297558,-68.784948,-90.0,top
D8,304.297558,-58.410499,-90.0,top
D9,300.763632,-68.784948,-90.0,top
D10,300.763632,-58.410499,-90.0,top
D12,297.229706,-58.410499,-90.0,top
D13,336.102892,-58.410499,-90.0,top
D15,374.976098,-68.784948,-90.0,top
D16,50.220835,-66.304655,-90.0,top
D17,72.896866,-68.784948,-90.0,top
D18,85.854598,-63.824362,-90.0,top
D19,102.051763,-68.784948,-90.0,top
D20,118.248928,-66.304655,-90.0,top
D21,134.446093,-63.824362,-90.0,top
D22,153.882691,-63.824362,-90.0,top
D23,166.840423,-66.304655,-90.0,top
D24,173.319289,-63.824362,-90.0,top
D25,189.516466,-68.784948,-90.0,top
D26,205.713661,-66.1035,-90.0,top
D27,307.831484,-58.410499,-90.0,top
D29,332.568966,-68.784948,-90.0,top
D30,360.840374,-68.784948,-90.0,top
D31,364.3743,-68.784948,-90.0,top
D32,367.908226,-68.784948,-90.0,top
D33,53.460268,-68.784948,-90.0,top
D34,76.136299,-63.824362,-90.0,top
D35,92.333464,-68.784948,-90.0,top
D37,124.727794,-63.824362,-90.0,top
D38,140.924959,-68.784948,-90.0,top
D39,157.122124,-66.304655,-90.0,top
D40,176.558722,-66.304655,-90.0,top
D41,186.277027,-66.1035,-90.0,top
D42,192.755905,-63.824362,-90.0,top
D43,307.831484,-68.784948,-90.0,top
D44,321.967188,-58.410499,-90.0,top
D45,325.501114,-58.410499,-90.0,top
D46,332.568966,-58.410499,-90.0,top
D47,350.238596,-68.784948,-90.0,top
D48,353.772522,-68.784948,-90.0,top
D49,357.306448,-68.784948,-90.0,top
D50,56.699701,-63.824362,-90.0,top
D52,79.375732,-66.304655,-90.0,top
D53,95.572897,-63.824362,-90.0,top
D54,111.770062,-68.784948,-90.0,top
D55,127.967227,-66.304655,-90.0,top
D56,144.164392,-63.824362,-90.0,top
D57,160.361557,-68.784948,-90.0,top
D58,179.798155,-68.784948,-90.0,top
D59,195.995344,-66.1035,-90.0,top
D60,208.9531,-68.784948,-90.0,top
D61,311.36541,-58.410499,-90.0,top
D62,318.433262,-68.784948,-90.0,top
D63,329.03504,-68.784948,-90.0,top
D64,59.939134,-66.304655,-90.0,top
D65,82.615165,-68.784948,-90.0,top
D66,98.81233,-66.304655,-90.0,top
D67,115.009495,-63.824362,-90.0,top
D68,131.20666,-68.784948,-90.0,top
D69,147.403825,-66.304655,-90.0,top
D70,163.60099,-63.824362,-90.0,top
D71,183.037588,-63.824362,-90.0,top
D72,199.234783,-68.784948,-90.0,top
D73,311.36541,-68.784948,-90.0,top
D74,318.433262,-58.410499,-90.0,top
D75,329.03504,-58.410499,-90.0,top
D76,346.70467,-68.784948,-90.0,top
D77,63.178567,-68.784948,-90.0,top
D79,66.418,-63.824362,-90.0,top
D81,69.657433,-66.304655,-90.0,top
D83,150.643258,-68.784948,-90.0,top
D85,314.899336,-58.410499,-90.0,top
D86,314.899336,-68.784948,-90.0,top
D88,325.501114,-68.784948,-90.0,top
D93,339.636818,-68.784948,-90.0,top
D94,343.170744,-68.784948,-90.0,top
D95,216.4207,-69.5325,-90.0,top
D96,219.3671,-69.5325,-90.0,top
F1,203.515397,-59.7281,90.0,top
J1,186.148397,-58.9661,180.0,top
R1,229.9843,-65.842226,180.0,top
R2,229.9843,-68.353189,180.0,top
R3,229.9843,-70.864152,180.0,top
R4,229.9843,-73.375115,180.0,top
R5,229.9843,-75.886078,180.0,top
R6,229.9843,-63.331263,180.0,top
R7,229.9843,-60.8203,180.0,top
RESET1,158.284597,-57.2897,0.0,top
SW0,46.6852,-92.3798,0.0,top
SW1,84.7852,-92.3798,0.0,top
SW2,103.8352,-92.3798,0.0,top
SW3,122.8852,-92.3798,0.0,top
SW4,141.92758,-92.38234,0.0,top
SW5,170.4975,-92.3925,0.0,top
SW6,189.5475,-92.3925,0.0,top
SW7,208.5975,-92.3925,0.0,top
SW8,227.6475,-92.3925,0.0,top
SW9,256.2352,-92.3798,0.0,top
SW10,275.2725,-92.3798,0.0,top
SW11,294.3352,-92.3798,0.0,top
SW12,313.3852,-92.3798,0.0,top
SW13,337.1977,-92.3798,0.0,top
SW14,356.235,-92.3798,0.0,top
SW15,375.285,-92.3798,0.0,top
SW16,46.6852,-116.1923,0.0,top
SW18,84.7852,-116.1923,0.0,top
SW19,103.8352,-116.1923,0.0,top
SW20,122.8852,-116.1923,0.0,top
SW21,141.9352,-116.1923,0.0,top
SW22,160.9852,-116.1923,0.0,top
SW23,180.0352,-116.1923,0.0,top
SW24,199.0852,-116.1923,0.0,top
SW25,218.1352,-116.1923,0.0,top
SW26,237.1852,-116.1923,0.0,top
SW27,256.2352,-116.1923,0.0,top
SW28,275.2852,-116.1923,0.0,top
SW29,303.8602,-116.1923,0.0,top
SW30,337.185,-116.1923,0.0,top
SW31,356.235,-116.1923,0.0,top
SW32,375.285,-116.1923,0.0,top
SW33,51.435,-135.255,0.0,top
SW34,75.2475,-135.255,0.0,top
SW35,94.2975,-135.255,0.0,top
SW36,113.3475,-135.255,0.0,top
SW37,132.3975,-135.255,0.0,top
SW38,151.4475,-135.255,0.0,top
SW39,170.4975,-135.255,0.0,top
SW40,189.5475,-135.255,0.0,top
SW42,227.6475,-135.255,0.0,top
SW43,246.6975,-135.255,0.0,top
SW44,265.7475,-135.255,0.0,top
SW45,284.7975,-135.255,0.0,top
SW46,308.6227,-135.255,0.0,top
SW47,337.185,-135.2423,0.0,top
SW48,356.235,-135.2423,0.0,top
SW49,375.285,-135.2423,0.0,top
SW50,53.81625,-154.305,0.0,top
SW52,80.01,-154.305,0.0,top
SW53,99.06,-154.305,0.0,top
SW54,118.11,-154.305,0.0,top
SW55,137.16,-154.305,0.0,top
SW56,156.21,-154.305,0.0,top
SW57,175.26,-154.305,0.0,top
SW58,194.31,-154.305,0.0,top
SW59,213.36,-154.305,0.0,top
SW60,232.41,-154.305,0.0,top
SW61,251.46,-154.305,0.0,top
SW62,270.51,-154.305,0.0,top
SW63,301.46625,-154.305,0.0,top
SW64,58.57875,-173.355,0.0,top
SW65,89.535,-173.355,0.0,top
SW66,108.585,-173.355,0.0,top
